,Monthly beer production,Forecasted_HOLTS WINTER ES
1956-01-01,93.2,
1956-02-01,96.0,
1956-03-01,95.2,
1956-04-01,77.1,
1956-05-01,70.9,
1956-06-01,64.8,
1956-07-01,70.1,
1956-08-01,77.3,
1956-09-01,79.5,
1956-10-01,100.6,
1956-11-01,100.7,
1956-12-01,107.1,
1957-01-01,95.9,
1957-02-01,82.8,
1957-03-01,83.3,
1957-04-01,80.0,
1957-05-01,80.4,
1957-06-01,67.5,
1957-07-01,75.7,
1957-08-01,71.1,
1957-09-01,89.3,
1957-10-01,101.1,
1957-11-01,105.2,
1957-12-01,114.1,
1958-01-01,96.3,
1958-02-01,84.4,
1958-03-01,91.2,
1958-04-01,81.9,
1958-05-01,80.5,
1958-06-01,70.4,
1958-07-01,74.8,
1958-08-01,75.9,
1958-09-01,86.3,
1958-10-01,98.7,
1958-11-01,100.9,
1958-12-01,113.8,
1959-01-01,89.8,
1959-02-01,84.4,
1959-03-01,87.2,
1959-04-01,85.6,
1959-05-01,72.0,
1959-06-01,69.2,
1959-07-01,77.5,
1959-08-01,78.1,
1959-09-01,94.3,
1959-10-01,97.7,
1959-11-01,100.2,
1959-12-01,116.4,
1960-01-01,97.1,
1960-02-01,93.0,
1960-03-01,96.0,
1960-04-01,80.5,
1960-05-01,76.1,
1960-06-01,69.9,
1960-07-01,73.6,
1960-08-01,92.6,
1960-09-01,94.2,
1960-10-01,93.5,
1960-11-01,108.5,
1960-12-01,109.4,
1961-01-01,105.1,
1961-02-01,92.5,
1961-03-01,97.1,
1961-04-01,81.4,
1961-05-01,79.1,
1961-06-01,72.1,
1961-07-01,78.7,
1961-08-01,87.1,
1961-09-01,91.4,
1961-10-01,109.9,
1961-11-01,116.3,
1961-12-01,113.0,
1962-01-01,100.0,
1962-02-01,84.8,
1962-03-01,94.3,
1962-04-01,87.1,
1962-05-01,90.3,
1962-06-01,72.4,
1962-07-01,84.9,
1962-08-01,92.7,
1962-09-01,92.2,
1962-10-01,114.9,
1962-11-01,112.5,
1962-12-01,118.3,
1963-01-01,106.0,
1963-02-01,91.2,
1963-03-01,96.6,
1963-04-01,96.3,
1963-05-01,88.2,
1963-06-01,70.2,
1963-07-01,86.5,
1963-08-01,88.2,
1963-09-01,102.8,
1963-10-01,119.1,
1963-11-01,119.2,
1963-12-01,125.1,
1964-01-01,106.1,
1964-02-01,102.1,
1964-03-01,105.2,
1964-04-01,101.0,
1964-05-01,84.3,
1964-06-01,87.5,
1964-07-01,92.7,
1964-08-01,94.4,
1964-09-01,113.0,
1964-10-01,113.9,
1964-11-01,122.9,
1964-12-01,132.7,
1965-01-01,106.9,
1965-02-01,96.6,
1965-03-01,127.3,
1965-04-01,98.2,
1965-05-01,100.2,
1965-06-01,89.4,
1965-07-01,95.3,
1965-08-01,104.2,
1965-09-01,106.4,
1965-10-01,116.2,
1965-11-01,135.9,
1965-12-01,134.0,
1966-01-01,104.6,
1966-02-01,107.1,
1966-03-01,123.5,
1966-04-01,98.8,
1966-05-01,98.6,
1966-06-01,90.6,
1966-07-01,89.1,
1966-08-01,105.2,
1966-09-01,114.0,
1966-10-01,122.1,
1966-11-01,138.0,
1966-12-01,142.2,
1967-01-01,116.4,
1967-02-01,112.6,
1967-03-01,123.8,
1967-04-01,103.6,
1967-05-01,113.9,
1967-06-01,98.6,
1967-07-01,95.0,
1967-08-01,116.0,
1967-09-01,113.9,
1967-10-01,127.5,
1967-11-01,131.4,
1967-12-01,145.9,
1968-01-01,131.5,
1968-02-01,131.0,
1968-03-01,130.5,
1968-04-01,118.9,
1968-05-01,114.3,
1968-06-01,85.7,
1968-07-01,104.6,
1968-08-01,105.1,
1968-09-01,117.3,
1968-10-01,142.5,
1968-11-01,140.0,
1968-12-01,159.8,
1969-01-01,131.2,
1969-02-01,125.4,
1969-03-01,126.5,
1969-04-01,119.4,
1969-05-01,113.5,
1969-06-01,98.7,
1969-07-01,114.5,
1969-08-01,113.8,
1969-09-01,133.1,
1969-10-01,143.4,
1969-11-01,137.3,
1969-12-01,165.2,
1970-01-01,126.9,
1970-02-01,124.0,
1970-03-01,135.7,
1970-04-01,130.0,
1970-05-01,109.4,
1970-06-01,117.8,
1970-07-01,120.3,
1970-08-01,121.0,
1970-09-01,132.3,
1970-10-01,142.9,
1970-11-01,147.4,
1970-12-01,175.9,
1971-01-01,132.6,
1971-02-01,123.7,
1971-03-01,153.3,
1971-04-01,134.0,
1971-05-01,119.6,
1971-06-01,116.2,
1971-07-01,118.6,
1971-08-01,130.7,
1971-09-01,129.3,
1971-10-01,144.4,
1971-11-01,163.2,
1971-12-01,179.4,
1972-01-01,128.1,
1972-02-01,138.4,
1972-03-01,152.7,
1972-04-01,120.0,
1972-05-01,140.5,
1972-06-01,116.2,
1972-07-01,121.4,
1972-08-01,127.8,
1972-09-01,143.6,
1972-10-01,157.6,
1972-11-01,166.2,
1972-12-01,182.3,
1973-01-01,153.1,
1973-02-01,147.6,
1973-03-01,157.7,
1973-04-01,137.2,
1973-05-01,151.5,
1973-06-01,98.7,
1973-07-01,145.8,
1973-08-01,151.7,
1973-09-01,129.4,
1973-10-01,174.1,
1973-11-01,197.0,
1973-12-01,193.9,
1974-01-01,164.1,
1974-02-01,142.8,
1974-03-01,157.9,
1974-04-01,159.2,
1974-05-01,162.2,
1974-06-01,123.1,
1974-07-01,130.0,
1974-08-01,150.1,
1974-09-01,169.4,
1974-10-01,179.7,
1974-11-01,182.1,
1974-12-01,194.3,
1975-01-01,161.4,
1975-02-01,169.4,
1975-03-01,168.8,
1975-04-01,158.1,
1975-05-01,158.5,
1975-06-01,135.3,
1975-07-01,149.3,
1975-08-01,143.4,
1975-09-01,142.2,
1975-10-01,188.4,
1975-11-01,166.2,
1975-12-01,199.2,
1976-01-01,182.7,
1976-02-01,145.2,
1976-03-01,182.1,
1976-04-01,158.7,
1976-05-01,141.6,
1976-06-01,132.6,
1976-07-01,139.6,
1976-08-01,147.0,
1976-09-01,166.6,
1976-10-01,157.0,
1976-11-01,180.4,
1976-12-01,210.2,
1977-01-01,159.8,
1977-02-01,157.8,
1977-03-01,168.2,
1977-04-01,158.4,
1977-05-01,152.0,
1977-06-01,142.2,
1977-07-01,137.2,
1977-08-01,152.6,
1977-09-01,166.8,
1977-10-01,165.6,
1977-11-01,198.6,
1977-12-01,201.5,
1978-01-01,170.7,
1978-02-01,164.4,
1978-03-01,179.7,
1978-04-01,157.0,
1978-05-01,168.0,
1978-06-01,139.3,
1978-07-01,138.6,
1978-08-01,153.4,
1978-09-01,138.9,
1978-10-01,172.1,
1978-11-01,198.4,
1978-12-01,217.8,
1979-01-01,173.7,
1979-02-01,153.8,
1979-03-01,175.6,
1979-04-01,147.1,
1979-05-01,160.3,
1979-06-01,135.2,
1979-07-01,148.8,
1979-08-01,151.0,
1979-09-01,148.2,
1979-10-01,182.2,
1979-11-01,189.2,
1979-12-01,183.1,
1980-01-01,170.0,
1980-02-01,158.4,
1980-03-01,176.1,
1980-04-01,156.2,
1980-05-01,153.2,
1980-06-01,117.9,
1980-07-01,149.8,
