Month,Monthly beer production,Predicted_HOLTS WINTER ES
1993-09-01,143.0,137.1674158848673
1993-10-01,151.0,166.1825188255821
1993-11-01,177.0,174.87585714559017
1993-12-01,184.0,185.79027453548025
1994-01-01,151.0,150.72831752523885
1994-02-01,134.0,141.5081989898104
1994-03-01,164.0,154.4322588674471
1994-04-01,126.0,144.51174273398868
1994-05-01,131.0,138.48594415616725
1994-06-01,125.0,125.9508143319673
1994-07-01,127.0,137.26593645655151
1994-08-01,143.0,140.41260493475454
1994-09-01,143.0,139.7971511216637
1994-10-01,160.0,169.3685234803758
1994-11-01,190.0,178.2285280451188
1994-12-01,182.0,189.3521935849003
1995-01-01,138.0,153.61803856592581
1995-02-01,136.0,144.22115450317702
1995-03-01,152.0,157.392990832994
1995-04-01,127.0,147.28228134585117
1995-05-01,151.0,141.1409578472772
1995-06-01,130.0,128.36550802882886
1995-07-01,119.0,139.89756050212395
1995-08-01,153.0,143.10455602609267
